material_id,spacegroup_symbol,spacegroup_number,original_formula,discharged_formula,charged_formula,replaced_element,vpv,discharged_energy_fu_corrected,charged_energy_fu_corrected,applied_correction,discharged_E_above_hull,charged_E_above_hull,average_voltage,mace-neb1 (meV),mace-neb2,mace-neb3,mace-neb4,other_dir,orbv3-neb1 (meV),orbv3-neb2,orbv3-neb3,orbv3-neb4,mace_candidate,orbv3_candidate,TL_neb1 (meV),TL_neb2,TL_neb3,TL_neb4,TL_candidate
mp-705056,P1,1,LiVP2O7,CaVP2O7,VP2O7,Li,14.350363156131024,-88.37662459425346,-80.17991403898708,-6.509,0.0213940837042265,0.0638906626012918,3.11,803.0,698.0,,,,807.4,797.1,,,0,0,1957.3,1597.5,,,0
mp-26227,C2/c,15,LiVP2O7,CaVP2O7,VP2O7,Li,13.425443621021396,-88.58552831135437,-80.44436535574137,-6.509,0.0024028366950545,0.0374455309258632,3.08,1273.0,786.0,,,,1254.5,847.5,,,0,0,1416.8,1698.9,,,0
mp-758360,P2_1/c,14,XLiVP2O7,CaVP2O7,VP2O7,Li,14.28120627058477,-88.47989842662159,-80.71532804993639,-6.509,0.012005553488942,0.0103492615063611,2.89,934.0,,,,,988.0,,,,1,1,1932.8,,,,0
mp-1567478,C2/m,12,LiVP2O7,CaVP2O7,VP2O7,Li,13.39882450960724,-88.55335361998804,-79.9205539659071,-6.509,0.0053278086374461,0.0898266699092902,3.33,1333.0,2474.0,2592.0,,and12_13,2130.1,3206.8,3147.0,,0,0,1232.4,1761.9,1786.7,,0
mp-26887,P2_1/c,14,LiVP2O7,CaVP2O7,VP2O7,Li,14.09268915484548,-88.27981354925204,-80.45703072354264,-6.509,0.0301950877952652,0.036178994145736,2.92,809.0,,,,,1052.7,,,,1,0,1794.8,,,,0
mp-758583,P2_1/c,14,XLiVP2O7,CaVP2O7,VP2O7,Li,13.417585583593215,-88.60028431115634,-80.28283792405918,-6.509,0.0010613821676006,0.0535982740940816,3.17,2511.0,3960.0,,,,2379.9,3971.5,,,0,0,945.6,1659.1,,,0
mp-2217313,C2,5,MgVP2O7,CaVP2O7,VP2O7,Mg,13.465616208773255,-88.54929853352569,-80.45944053872854,-6.509,0.0056964528612972,0.0359380126271453,3.05,636.0,,,,,748.7,,,,1,1,1957.8,,,,0
mp-705340,P2_1/c,14,LiVP2O7,CaVP2O7,VP2O7,Li,14.54017920203339,-88.54005086401185,-80.6325027677042,-6.509,0.0065371500898283,0.0186317897295804,2.96,2034.0,,,,,2589.8,,,,0,0,1847.6,,,,0
mp-760004,P1,1,Li2VCr(P2O7)2,Ca2VCr(P2O7)2,VCrP4O14,Li,13.347319107297016,-176.77458564471434,-160.35752726604446,-13.317,0.0249682833084516,0.0433445685727775,3.11,718.0,,,,,1029.9,,,,1,0,1951.2,,,,0
mp-764248,P2_1,4,Li2VCr(P2O7)2,Ca2VCr(P2O7)2,VCrP4O14,Li,13.40229769136144,-176.77234574256724,-160.39201773926723,-13.317,0.0250700970424109,0.0416200449116388,3.1,863.0,,,,,1301.2,,,,1,0,1819.5,,,,0
mp-760105,P1,1,Li2VCr(P2O7)2,Ca2VCr(P2O7)2,VCrP4O14,Li,13.419252545990982,-176.77802965878826,-160.37626070623946,-13.317,0.0248117372141827,0.0424078965630272,3.11,1017.0,,,,,1269.6,,,,0,0,2069.8,,,,0
mp-759663,P2_1,4,Li2VCr(P2O7)2,Ca2VCr(P2O7)2,VCrP4O14,Li,13.378130515431367,-176.7677436313389,-160.38218953971918,-13.317,0.0252792839164257,0.0421114548890422,3.11,952.0,,,,,1300.6,,,,1,0,2065.6,,,,0
